name,|N|,|M|,matrix_size,|M1|,num_explored_hypotheses,per_level_hypotheses,execution_time,per_level_time,memory_occupation,num_solutions,hypotheses_per_second
025.41,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21921.4901,"[0.0145, 13.9417, 118.8385, 645.6126, 3003.3872, 18077.3469, 17.2388]",521991,298,5.207812036463707
025.42,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22021.2342,"[0.0145, 14.5533, 129.2788, 660.44, 3025.8323, 18130.1449, 16.5159]",454647,298,5.184223507327305
025.43,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21923.9695,"[0.0142, 14.0478, 118.0174, 649.5088, 2999.228, 18083.6647, 15.3054]",448697,298,5.207223080656083
025.44,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21906.7333,"[0.0154, 14.1516, 121.1827, 651.7738, 3022.044, 18036.2274, 17.107]",458240,298,5.211320119554292
025.45,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21911.4907,"[0.0143, 14.4421, 119.9953, 647.0353, 2997.5251, 18071.4062, 16.4727]",512643,298,5.21018864316703
025.46,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21903.9468,"[0.015, 13.924, 118.3228, 646.4391, 3032.7613, 18032.7578, 15.18]",539013,298,5.211983075123246
025.47,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21865.462,"[0.0197, 14.1188, 122.6202, 641.811, 2999.7012, 18027.5933, 15.853]",527067,298,5.221156543593728
025.48,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21837.1068,"[0.0186, 15.3387, 125.4148, 637.1912, 2998.9144, 17998.4319, 16.6397]",462125,298,5.227936147658535
025.49,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21855.5332,"[0.015, 14.8667, 125.6531, 635.7177, 2998.719, 18020.5264, 16.4719]",523979,298,5.223528474702232
025.50,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21916.6498,"[0.0156, 15.026, 122.5863, 640.6858, 3004.7394, 18074.5465, 15.8223]",454853,298,5.208962183627171
025.51,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22089.9675,"[0.015, 14.7532, 117.8279, 652.3616, 2998.2315, 18245.2094, 16.1184]",491784,298,5.16809270995985
025.52,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21846.6792,"[0.0144, 14.7055, 120.1402, 641.0421, 3009.0323, 18003.179, 15.0556]",460854,298,5.225645461027322
025.53,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21839.0491,"[0.0139, 13.9847, 119.1371, 639.7861, 3004.4136, 18001.6367, 15.0909]",475317,298,5.227471190584026
025.54,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21866.5257,"[0.016, 14.4553, 118.1507, 638.9199, 2995.9576, 18039.7382, 14.8093]",522203,298,5.220902559751411
025.55,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21840.2419,"[0.0138, 14.4748, 118.1863, 636.7313, 3000.447, 18005.8187, 18.1914]",456144,298,5.227185693396555
025.56,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21839.8162,"[0.0176, 14.0108, 117.7461, 633.3512, 2995.0472, 18020.6515, 14.9524]",450570,298,5.227287581293838
025.57,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21940.9893,"[0.0179, 13.9878, 121.0447, 633.1932, 3006.5447, 18106.4565, 15.0197]",511577,298,5.203183796274856
025.58,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21889.2953,"[0.0143, 14.4449, 123.4422, 637.8469, 3003.3271, 18051.9594, 14.6751]",423951,298,5.215471692229397
025.59,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21842.1565,"[0.0166, 14.2754, 119.5332, 638.8958, 3012.7234, 17996.9177, 15.7297]",451341,298,5.226727498266941
025.60,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21892.0879,"[0.0164, 14.6927, 120.0455, 641.4871, 3007.4658, 18050.781, 14.7733]",469174,298,5.214806395876019
025.61,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21819.1698,"[0.0158, 13.8726, 119.4531, 638.857, 3001.7214, 17985.9051, 15.6264]",449951,298,5.232233904701544
025.62,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21792.4917,"[0.0132, 14.3842, 120.0609, 645.4078, 3018.2587, 17933.6882, 15.638]",544134,298,5.238639141021217
025.63,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",22103.3288,"[0.0157, 14.7379, 119.3582, 634.0648, 3009.5293, 18262.3442, 15.6459]",450163,298,5.164968635855429
025.64,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21879.5856,"[0.0142, 15.2405, 119.3226, 637.0157, 3019.3162, 18028.3841, 15.799]",439583,298,5.217786208894195
025.65,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21992.1285,"[0.0144, 14.644, 119.0533, 635.7929, 3009.103, 18154.7113, 14.9312]",425829,298,5.191084619208186
025.66,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21847.1407,"[0.0169, 14.7746, 119.7658, 637.8628, 3015.6489, 17996.8434, 16.8079]",509415,298,5.225535074253447
025.67,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21922.8127,"[0.0155, 15.1638, 118.8505, 633.7414, 3004.2372, 18091.5905, 15.309]",446062,298,5.20749784994514
025.68,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21822.4189,"[0.0128, 13.7319, 122.8254, 648.6201, 3005.7527, 17972.3343, 15.4366]",488598,298,5.231454886974055
