name,|N|,|M|,matrix_size,|M1|,num_explored_hypotheses,per_level_hypotheses,execution_time,per_level_time,memory_occupation,num_solutions,hypotheses_per_second
025.61,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21195.8879,"[0.0152, 14.6943, 120.2323, 642.8782, 2960.2211, 17400.8136, 15.0307]",526068,298,5.38609189379606
025.62,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21407.401,"[0.0154, 14.7385, 123.5879, 650.5642, 3008.6352, 17550.5003, 15.9604]",476788,298,5.332875298594163
025.63,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21656.8678,"[0.0157, 14.1606, 120.1266, 652.8015, 3013.4689, 17798.3686, 15.2211]",532048,298,5.2714455781089455
025.64,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21440.7105,"[0.0172, 14.8723, 123.5783, 650.2789, 2991.8403, 17599.0879, 15.9836]",447907,298,5.324590339485251
025.65,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21458.9213,"[0.015, 14.7939, 122.8876, 644.2538, 3008.8224, 17610.7867, 14.9189]",478148,298,5.320071703697426
025.66,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21835.7217,"[0.0153, 14.23, 120.7789, 644.354, 3049.2269, 17946.8052, 16.216]",439102,298,5.228267770054974
025.67,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21762.5488,"[0.0179, 14.8015, 121.8041, 645.1709, 3037.1964, 17881.3654, 16.2346]",450444,298,5.245846938663728
025.68,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21357.5824,"[0.0164, 14.5068, 121.5465, 642.7562, 3000.8194, 17512.7494, 15.2196]",496253,298,5.345314739368629
025.69,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21556.6097,"[0.0178, 13.9014, 119.2323, 639.6583, 2994.6467, 17730.187, 16.7085]",452238,298,5.295962657801426
025.70,6,33,198,23,114163,"[1, 23, 253, 1771, 8631, 28700, 74784]",21510.7073,"[0.016, 14.9061, 121.3227, 647.0335, 2954.1584, 17711.7907, 15.8349]",424922,298,5.307263885274475
